block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_4-003_3500,4,1,UNIVERSITY - MOILIILI,40091,3500_s,5594846.412.851876
b_43-004_3616,29,0,WAIPAHU via H-1 Freeway,430024,3616_smuwtfa,5596477.4309.866046
b_22-004_3572,21,0,TheBeachBus - WAIKIKI BEACH,220052,3572_a,5592830.2208.863735
b_501-001_3563,113,0,MILILANI MAUKA,5010007,3563_muwtf,5632185.5011.873186
a_412-001_3495,85,0,KAPOLEI TRANSIT CENTER,4120007,3495_muwtf,5599101.4121.854409
a_414-001_3500,112,0,CommunityAccess! KAPOLEI TC,4140010,3500_s,5632413.4141.860258
b_76-001_3585,46,0,HALEIWA,760003,3585_s,5603537.7601.869785
a_2-038_3500,2,0,SCHOOL STREET - Middle Street,20120,3500_s,5595107.207.852099
a_19-024_3495,18,0,AIRPORT - HICKAM,190124,3495_muwtf,5589220.1903.848795
a_432-002_3534,88,0,WAIPAHU TRANSIT CENTER,4320024,3534_smuwtfa,5605802.4322.858215
a_44-001_3497,30,1,WAIPAHU - Leoku Street,440008,3497_a,5601879.4405.855764
a_1L-006_3495,102,1,HAWAII KAI - Limited Stops,1L0016,3495_muwtf,5615389.1A03.859838
a_40-010_3548,26,1,HONOLULU - Ala Moana Center,400280,3548_muwtf_UWon,5600642.4005.855595
b_403-001_3572,81,0,WAIANAE VALLEY,4010005,3572_a,5602523.4013.869376
a_9-001_3495,126,0,NAVY - Nimitz Gate,90175,3495_muwtf,5588770.909.848591
a_55-003_3495,130,1,HONOLULU - Ala Moana Center,550066,3495_muwtf,5600296.5502.855362
a_A-009_3534,22,0,CityExpress! WAIPAHU,A0060,3534_smuwtfa,5606185.2505.858538
b_10-001_3585,10,0,SHUTTLE,100004,3585_s,5593600.1003.864051
a_19-027_3495,19,0,AIRPORT - PEARLRIDGE,200077,3495_muwtf,5589279.2003.848854
a_403-002_3497,81,1,WAIANAE TRANSIT CENTER,4010004,3497_a,5602512.4012.856251
a_434-001_3497,89,1,WAIKELE,4330015,3497_a,5602117.4332.855994
b_432-002_3572,88,0,WAIPAHU TRANSIT CENTER,4320024,3572_a,5601940.4322.868935
a_17-001_3497,16,1,ALA MOANA CENTER,170008,3497_a,5591110.1701.849280
b_14-002_3563,13,1,WAIALAE AVENUE,140012,3563_muwtf,5693748.1403.873733
b_6-003_3572,6,0,PAUOA VALLEY,60125,3572_a,5591426.605.862747
a_57-003_3495,36,0,KAILUA - SEA LIFE PARK,570082,3495_muwtf,5588279.5704.848214
a_23-001_3500,36,1,HONOLULU - Ala Moana Center,570077,3500_s,5594130.5702.851366
b_2-043_3563,2,1,WAIKIKI - KCC,20112,3563_muwtf,5589447.213.862131
b_2-062_3563,132,0,SCHOOL STREET - Limited Stops,2L0004,3563_muwtf,5589597.2A04.862281
b_432-001_3585,88,1,EAST WAIPAHU - Paiwa Street,4320025,3585_s,5603705.4321.869943
a_A-001_3500,22,1,CityExpress! UH MANOA,A0056,3500_s,5604078.2503.857186
b_432-002_3585,88,0,WEST WAIPAHU - Leoku Street,4320017,3585_s,5603767.4323.870005
a_9-002_3500,126,0,NAVY - Nimitz Gate,90175,3500_s,5594649.909.851799
a_433-001_3495,89,1,WAIKELE - WAIPIO,4330013,3495_muwtf,5599319.4334.854592
b_2-037_3572,2,0,SCHOOL STREET - Middle Street,20120,3572_a,5592989.207.863883
a_432-001_3500,88,1,EAST WAIPAHU - Paiwa Street,4320025,3500_s,5603707.4321.856869
a_4-004_3534,4,0,NUUANU - Dowsett Avenue via UH Manoa,40095,3534_smuwtfa,5597286.407.853490
b_501-001_3616,113,1,MILILANI MAUKA,5010006,3616_smuwtfa,5632585.5011.873548
a_433-001_3495,89,0,WAIPAHU TRANSIT CENTER,4330014,3495_muwtf,5599349.4333.854622
a_55-009_3500,130,1,HONOLULU - Ala Moana Center,550075,3500_s,5604635.5502.857646
b_8-001_3563,8,0,ALA MOANA CENTER,80021,3563_muwtf,5587361.801.860854
a_62-003_3534,131,1,WAHIAWA HEIGHTS - Schofield,620141,3534_smuwtfa,5606910.6209.859124
a_7-001_3497,7,1,KALIHI UKA,70053,3497_a,5591744.702.849857
a_403-001_3497,82,0,LUALUALEI HOMESTEADS,4020006,3497_a,5602551.4022.856290
a_4-003_3497,4,0,NUUANU - Kimo Drive via UH Manoa,40096,3497_a,5592653.408.850433
b_433-001_3563,89,0,WAIPAHU TRANSIT CENTER,4330022,3563_muwtf,5599300.4333.867687
b_8-002_3572,8,0,ALA MOANA CENTER,80021,3572_a,5591525.801.862840
b_9s-001_3616,125,1,PALOLO VALLEY,9s0003,3616_smuwtfa,5596941.9A01.866424
b_411-001_3585,85,0,KAPOLEI TRANSIT CENTER,4120007,3585_s,5603615.4121.869859
b_40-004_3616,26,1,HONOLULU - Ala Moana Center,400235,3616_smuwtfa,5606287.4005.871655
b_C-004_3563,40,0,CountryExpress! MAKAHA,C0106,3563_muwtf,5599847.6605.868141
b_434-001_3572,89,0,WAIPAHU TRANSIT CENTER,4330021,3572_a,5602121.4333.869112
b_432-002_3616,88,1,WAIPAHU TRANSIT CENTER,4320022,3616_smuwtfa,5605873.4322.871325
a_A-010_3497,22,0,CityExpress! KALIHI TRANSIT CENTER,A0061,3497_a,5602277.2501.856148
b_434-001_3585,90,0,VILLAGE PARK,4340022,3585_s,5604034.4341.870222
b_8-008_3563,8,0,ALA MOANA CENTER,80021,3563_muwtf,5587341.801.860834
b_5-001_3585,5,0,ALA MOANA CENTER,50013,3585_s,5593656.501.864103
a_9s-001_3495,125,1,PALOLO VALLEY,9s0003,3495_muwtf,5588646.9A01.848469
b_3-002_3616,3,1,KAPIOLANI COMM COLLEGE,30162,3616_smuwtfa,5597011.311.866492
b_54-004_3616,33,0,UPPER PEARL CITY,540060,3616_smuwtfa,5595977.5409.865620
a_1-008_3500,1,1,HAWAII KAI,10209,3500_s,5594352.113.851543
b_56-002_3616,35,0,KAILUA - KANEOHE,560030,3616_smuwtfa,5595814.5604.865514
